Isotope,Sigma,ORNL C/E,Nominal C/E,modEu C/E,modEu+Sm C/E,E7.1 Nominal C/E,E7.1 modEu C/E,E7.1 modEu+Sm C/E
233U,1,0.014,0.020,0.020,0.020,0.018,0.018,0.018
234U,0.024,0.944,1.047,1.047,1.047,1.075,1.075,1.075
235U,0.013,0.963,0.949,0.949,0.949,0.943,0.944,0.944
236U,0.019,1.02,0.991,0.991,0.991,0.990,0.990,0.990
238U,0.01,0.986,0.985,0.985,0.985,0.985,0.985,0.985
238Pu,0.024,0.959,0.863,0.863,0.863,0.968,0.969,0.969
239Pu,0.015,1.064,1.033,1.033,1.033,1.014,1.015,1.015
240Pu,0.018,1.066,1.031,1.031,1.031,1.016,1.016,1.016
241Pu,0.02,1.064,1.003,1.004,1.004,1.000,1.001,1.001
242Pu,0.017,0.991,0.968,0.968,0.968,1.008,1.008,1.008
237Np,0.1,0.793,0.754,0.754,0.754,0.748,0.748,0.748
241Am,0.1,1.156,1.159,1.159,1.159,1.148,1.148,1.148
243Am,0.1,0.892,0.888,0.888,0.888,0.800,0.800,0.800
244Cm,0.1,0.823,0.805,0.805,0.805,0.827,0.828,0.828
133Cs,0.013,1.037,1.022,1.022,1.022,1.028,1.028,1.028
134Cs,0.2,0.865,0.703,0.704,0.704,0.689,0.689,0.689
135Cs,0.014,1.01,0.981,0.981,0.981,0.980,0.980,0.980
137Cs,0.014,1.045,1.037,1.037,1.037,1.037,1.037,1.037
140Ce,0.035,1.072,1.034,1.034,1.034,1.034,1.034,1.034
142Ce,0.036,1.067,1.053,1.053,1.053,1.051,1.051,1.051
142Nd,0.02,1.009,1.004,1.004,1.004,1.013,1.013,1.013
143Nd,0.02,0.979,0.975,0.975,0.975,0.974,0.974,0.974
144Nd,0.018,0.955,0.958,0.957,0.957,0.959,0.959,0.959
145Nd,0.02,0.959,0.957,0.957,0.957,0.974,0.974,0.974
146Nd,0.02,0.993,0.991,0.991,0.991,0.978,0.978,0.978
148Nd,0.021,0.999,0.999,0.999,0.999,1.000,1.000,1.000
150Nd,0.019,1.018,1.029,1.029,1.029,1.030,1.030,1.030
147Sm,0.016,0.994,0.991,0.991,0.991,0.984,0.984,0.984
148Sm,0.015,0.936,0.935,0.935,0.935,0.937,0.937,0.937
149Sm,0.02,1.071,0.965,0.966,0.966,0.964,0.965,0.965
150Sm,0.015,1.023,1.020,1.020,1.020,1.024,1.024,1.024
151Sm,0.02,0.967,0.949,0.950,0.950,0.949,0.950,0.950
152Sm,0.017,1.007,1.018,1.017,1.017,1.014,1.014,1.014
154Sm,0.017,1.071,1.059,1.059,1.064,1.060,1.060,1.065
151Eu,0.027,0.946,0.957,0.958,0.958,0.957,0.957,0.957
152Eu,0.11,0.019,0.102,0.102,0.102,0.101,0.101,0.101
153Eu,0.019,1.055,1.054,1.054,1.054,1.020,1.020,1.020
154Eu,0.022,1.107,1.104,0.960,0.960,1.124,0.980,0.980
155Eu,0.025,1,1.038,1.063,1.061,1.056,1.080,1.079
152Gd,0.16,0.202,0.638,0.638,0.638,0.635,0.636,0.636
154Gd,0.018,1.101,1.099,0.958,0.958,1.119,0.978,0.978
155Gd,0.018,1.038,1.034,1.058,1.057,1.052,1.076,1.074
156Gd,0.016,0.971,0.965,0.994,0.993,0.992,1.021,1.020
157Gd,0.049,0.838,0.825,0.840,0.839,0.838,0.853,0.852
158Gd,0.017,1.208,1.187,1.201,1.200,1.201,1.214,1.214
160Gd,0.021,1.04,1.035,1.035,1.035,1.036,1.036,1.036
109Ag,0.1,1.087,0.985,0.985,0.985,0.984,0.984,0.984
95Mo,0.1,0.796,0.827,0.827,0.827,0.831,0.831,0.831
103Rh,0.1,0.867,0.949,0.948,0.948,0.966,0.966,0.966
99Tc,0.1,0.881,0.991,0.991,0.991,1.006,1.006,1.006